date,percentile,variable,income
2022-01-01,92,minimum,16533.0
2022-01-01,93,minimum,17325.0
2022-01-01,94,minimum,18294.0
2022-01-01,95,minimum,19468.0
2022-01-01,96,minimum,20776.0
2022-01-01,97,minimum,22575.0
2022-01-01,98,minimum,25017.0
2022-01-01,99,minimum,29029.0
2022-01-01,100,minimum,37583.0
2022-01-01,1,maximum,1303.0
2022-01-01,2,maximum,1547.0
2022-01-01,3,maximum,1723.0
2022-01-01,4,maximum,1877.0
2022-01-01,5,maximum,2012.0
2022-01-01,6,maximum,2134.0
2022-01-01,7,maximum,2246.0
2022-01-01,8,maximum,2357.0
2022-01-01,9,maximum,2459.0
2022-01-01,10,maximum,2559.0
2022-01-01,11,maximum,2657.0
2022-01-01,12,maximum,2749.0
2022-01-01,13,maximum,2846.0
2022-01-01,14,maximum,2944.0
2022-01-01,15,maximum,3034.0
2022-01-01,16,maximum,3117.0
2022-01-01,17,maximum,3200.0
2022-01-01,18,maximum,3279.0
2022-01-01,19,maximum,3359.0
2022-01-01,20,maximum,3440.0
2022-01-01,21,maximum,3522.0
2022-01-01,22,maximum,3608.0
2022-01-01,23,maximum,3696.0
2022-01-01,24,maximum,3783.0
2022-01-01,25,maximum,3874.0
2022-01-01,26,maximum,3966.0
2022-01-01,27,maximum,4052.0
2022-01-01,28,maximum,4140.0
2022-01-01,29,maximum,4225.0
2022-01-01,30,maximum,4313.0
2022-01-01,31,maximum,4403.0
2022-01-01,32,maximum,4488.0
2022-01-01,33,maximum,4582.0
2022-01-01,34,maximum,4674.0
2022-01-01,35,maximum,4764.0
2022-01-01,36,maximum,4864.0
2022-01-01,37,maximum,4958.0
2022-01-01,38,maximum,5052.0
2022-01-01,39,maximum,5150.0
2022-01-01,40,maximum,5251.0
2022-01-01,41,maximum,5352.0
2022-01-01,42,maximum,5457.0
2022-01-01,43,maximum,5566.0
2022-01-01,44,maximum,5664.0
2022-01-01,45,maximum,5770.0
2022-01-01,46,maximum,5876.0
2022-01-01,47,maximum,5991.0
2022-01-01,48,maximum,6115.0
2022-01-01,49,maximum,6228.0
2022-01-01,50,maximum,6338.0
2022-01-01,51,maximum,6452.0
2022-01-01,52,maximum,6582.0
2022-01-01,53,maximum,6709.0
2022-01-01,54,maximum,6840.0
2022-01-01,55,maximum,6979.0
2022-01-01,56,maximum,7115.0
2022-01-01,57,maximum,7254.0
2022-01-01,58,maximum,7391.0
2022-01-01,59,maximum,7544.0
2022-01-01,60,maximum,7694.0
2022-01-01,61,maximum,7850.0
2022-01-01,62,maximum,8011.0
2022-01-01,63,maximum,8181.0
2022-01-01,64,maximum,8339.0
2022-01-01,65,maximum,8523.0
2022-01-01,66,maximum,8696.0
2022-01-01,67,maximum,8875.0
2022-01-01,68,maximum,9054.0
2022-01-01,69,maximum,9260.0
2022-01-01,70,maximum,9449.0
2022-01-01,71,maximum,9659.0
2022-01-01,72,maximum,9880.0
2022-01-01,73,maximum,10093.0
2022-01-01,74,maximum,10317.0
2022-01-01,75,maximum,10552.0
2022-01-01,76,maximum,10776.0
2022-01-01,77,maximum,11038.0
2022-01-01,78,maximum,11282.0
2022-01-01,79,maximum,11538.0
2022-01-01,80,maximum,11819.0
2022-01-01,81,maximum,12104.0
