date,state,type,staff
2019-01-01,Terengganu,doctor,1992
2020-01-01,Terengganu,doctor,2245
2021-01-01,Terengganu,doctor,2043
2022-01-01,Terengganu,doctor,2119
2014-01-01,Terengganu,nurse,2582
2015-01-01,Terengganu,nurse,2772
2016-01-01,Terengganu,nurse,2855
2017-01-01,Terengganu,nurse,2949
2018-01-01,Terengganu,nurse,2908
2019-01-01,Terengganu,nurse,2918
2020-01-01,Terengganu,nurse,7424
2021-01-01,Terengganu,nurse,3197
2022-01-01,Terengganu,nurse,3370
2014-01-01,Terengganu,nurse_community,1418
2015-01-01,Terengganu,nurse_community,1424
2016-01-01,Terengganu,nurse_community,1407
2017-01-01,Terengganu,nurse_community,1421
2018-01-01,Terengganu,nurse_community,1421
2019-01-01,Terengganu,nurse_community,1423
2020-01-01,Terengganu,nurse_community,1354
2021-01-01,Terengganu,nurse_community,1350
2022-01-01,Terengganu,nurse_community,1425
2014-01-01,W.P. Kuala Lumpur,all,8394
2015-01-01,W.P. Kuala Lumpur,all,12278
2016-01-01,W.P. Kuala Lumpur,all,13140
2017-01-01,W.P. Kuala Lumpur,all,12702
2018-01-01,W.P. Kuala Lumpur,all,15492
2019-01-01,W.P. Kuala Lumpur,all,17299
2020-01-01,W.P. Kuala Lumpur,all,15374
2021-01-01,W.P. Kuala Lumpur,all,18045
2022-01-01,W.P. Kuala Lumpur,all,18941
2014-01-01,W.P. Kuala Lumpur,dentist,482
2015-01-01,W.P. Kuala Lumpur,dentist,453
2016-01-01,W.P. Kuala Lumpur,dentist,497
2017-01-01,W.P. Kuala Lumpur,dentist,605
2018-01-01,W.P. Kuala Lumpur,dentist,650
2019-01-01,W.P. Kuala Lumpur,dentist,708
2020-01-01,W.P. Kuala Lumpur,dentist,754
2021-01-01,W.P. Kuala Lumpur,dentist,772
2022-01-01,W.P. Kuala Lumpur,dentist,854
2014-01-01,W.P. Kuala Lumpur,doctor,2772
2015-01-01,W.P. Kuala Lumpur,doctor,2480
2016-01-01,W.P. Kuala Lumpur,doctor,2870
2017-01-01,W.P. Kuala Lumpur,doctor,3745
2018-01-01,W.P. Kuala Lumpur,doctor,4738
2019-01-01,W.P. Kuala Lumpur,doctor,5593
2020-01-01,W.P. Kuala Lumpur,doctor,7054
2021-01-01,W.P. Kuala Lumpur,doctor,6967
2022-01-01,W.P. Kuala Lumpur,doctor,7331
